kind	english	japanese
pokemon	Bulbasaur	フシギダネ
pokemon	Ivysaur	フシギソウ
pokemon	Venusaur	フシギバナ
pokemon	Venusaur-Gmax	フシギバナ
pokemon	Venusaur-Mega	フシギバナ
pokemon	Charmander	ヒトカゲ
pokemon	Charmeleon	リザード
pokemon	Charizard	リザードン
pokemon	Charizard-Gmax	リザードン
pokemon	Charizard-Mega-X	リザードン
pokemon	Charizard-Mega-Y	リザードン
pokemon	Squirtle	ゼニガメ
pokemon	Wartortle	カメール
pokemon	Blastoise	カメックス
pokemon	Blastoise-Gmax	カメックス
pokemon	Blastoise-Mega	カメックス
pokemon	Caterpie	キャタピー
pokemon	Metapod	トランセル
pokemon	Butterfree	バタフリー
pokemon	Butterfree-Gmax	バタフリー
pokemon	Weedle	ビードル
pokemon	Kakuna	コクーン
pokemon	Beedrill	スピアー
pokemon	Beedrill-Mega	スピアー
pokemon	Pidgey	ポッポ
pokemon	Pidgeotto	ピジョン
pokemon	Pidgeot	ピジョット
pokemon	Pidgeot-Mega	ピジョット
pokemon	Rattata	コラッタ
pokemon	Rattata-Alola	コラッタ
pokemon	Raticate	ラッタ
pokemon	Raticate-Alola	ラッタ
pokemon	Raticate-Alola-Totem	ラッタ
pokemon	Spearow	オニスズメ
pokemon	Fearow	オニドリル
pokemon	Ekans	アーボ
pokemon	Arbok	アーボック
pokemon	Pikachu	ピカチュウ
pokemon	Pikachu-Alola	ピカチュウ
pokemon	Pikachu-Belle	ピカチュウ
pokemon	Pikachu-Cosplay	ピカチュウ
pokemon	Pikachu-Gmax	ピカチュウ
pokemon	Pikachu-Hoenn	ピカチュウ
pokemon	Pikachu-Kalos	ピカチュウ
pokemon	Pikachu-Libre	ピカチュウ
pokemon	Pikachu-Original	ピカチュウ
pokemon	Pikachu-Partner	ピカチュウ
pokemon	Pikachu-PhD	ピカチュウ
pokemon	Pikachu-Pop-Star	ピカチュウ
pokemon	Pikachu-Rock-Star	ピカチュウ
pokemon	Pikachu-Sinnoh	ピカチュウ
pokemon	Pikachu-Starter	ピカチュウ
pokemon	Pikachu-Unova	ピカチュウ
pokemon	Pikachu-World	ピカチュウ
pokemon	Raichu	ライチュウ
pokemon	Raichu-Alola	ライチュウ
pokemon	Raichu-Mega-X	ライチュウ
pokemon	Raichu-Mega-Y	ライチュウ
pokemon	Sandshrew	サンド
pokemon	Sandshrew-Alola	サンド
pokemon	Sandslash	サンドパン
pokemon	Sandslash-Alola	サンドパン
pokemon	Nidoran-F	ニドラン♀
pokemon	Nidorina	ニドリーナ
pokemon	Nidoqueen	ニドクイン
pokemon	Nidoran-M	ニドラン♂
pokemon	Nidorino	ニドリーノ
pokemon	Nidoking	ニドキング
pokemon	Clefairy	ピッピ
pokemon	Clefable	ピクシー
pokemon	Clefable-Mega	ピクシー
pokemon	Vulpix	ロコン
pokemon	Vulpix-Alola	ロコン
pokemon	Ninetales	キュウコン
pokemon	Ninetales-Alola	キュウコン
pokemon	Jigglypuff	プリン
pokemon	Wigglytuff	プクリン
pokemon	Zubat	ズバット
pokemon	Golbat	ゴルバット
pokemon	Oddish	ナゾノクサ
pokemon	Gloom	クサイハナ
pokemon	Vileplume	ラフレシア
pokemon	Paras	パラス
pokemon	Parasect	パラセクト
pokemon	Venonat	コンパン
pokemon	Venomoth	モルフォン
pokemon	Diglett	ディグダ
pokemon	Diglett-Alola	ディグダ
pokemon	Dugtrio	ダグトリオ
pokemon	Dugtrio-Alola	ダグトリオ
pokemon	Meowth	ニャース
pokemon	Meowth-Alola	ニャース
pokemon	Meowth-Galar	ニャース
pokemon	Meowth-Gmax	ニャース
pokemon	Persian	ペルシアン
pokemon	Persian-Alola	ペルシアン
pokemon	Psyduck	コダック
pokemon	Golduck	ゴルダック
pokemon	Mankey	マンキー
pokemon	Primeape	オコリザル
pokemon	Growlithe	ガーディ
pokemon	Growlithe-Hisui	ガーディ
pokemon	Arcanine	ウインディ
pokemon	Arcanine-Hisui	ウインディ
pokemon	Poliwag	ニョロモ
pokemon	Poliwhirl	ニョロゾ
pokemon	Poliwrath	ニョロボン
pokemon	Abra	ケーシィ
pokemon	Kadabra	ユンゲラー
pokemon	Alakazam	フーディン
pokemon	Alakazam-Mega	フーディン
pokemon	Machop	ワンリキー
pokemon	Machoke	ゴーリキー
pokemon	Machamp	カイリキー
pokemon	Machamp-Gmax	カイリキー
pokemon	Bellsprout	マダツボミ
pokemon	Weepinbell	ウツドン
pokemon	Victreebel	ウツボット
pokemon	Victreebel-Mega	ウツボット
pokemon	Tentacool	メノクラゲ
pokemon	Tentacruel	ドククラゲ
pokemon	Geodude	イシツブテ
pokemon	Geodude-Alola	イシツブテ
pokemon	Graveler	ゴローン
pokemon	Graveler-Alola	ゴローン
pokemon	Golem	ゴローニャ
pokemon	Golem-Alola	ゴローニャ
pokemon	Ponyta	ポニータ
pokemon	Ponyta-Galar	ポニータ
pokemon	Rapidash	ギャロップ
pokemon	Rapidash-Galar	ギャロップ
pokemon	Slowpoke	ヤドン
pokemon	Slowpoke-Galar	ヤドン
pokemon	Slowbro	ヤドラン
pokemon	Slowbro-Galar	ヤドラン
pokemon	Slowbro-Mega	ヤドラン
pokemon	Magnemite	コイル
pokemon	Magneton	レアコイル
pokemon	Farfetch’d	カモネギ
pokemon	Farfetch’d-Galar	カモネギ
pokemon	Doduo	ドードー
pokemon	Dodrio	ドードリオ
pokemon	Seel	パウワウ
pokemon	Dewgong	ジュゴン
pokemon	Grimer	ベトベター
pokemon	Grimer-Alola	ベトベター
pokemon	Muk	ベトベトン
pokemon	Muk-Alola	ベトベトン
pokemon	Shellder	シェルダー
pokemon	Cloyster	パルシェン
pokemon	Gastly	ゴース
pokemon	Haunter	ゴースト
pokemon	Gengar	ゲンガー
pokemon	Gengar-Gmax	ゲンガー
pokemon	Gengar-Mega	ゲンガー
pokemon	Onix	イワーク
pokemon	Drowzee	スリープ
pokemon	Hypno	スリーパー
pokemon	Krabby	クラブ
pokemon	Kingler	キングラー
pokemon	Kingler-Gmax	キングラー
pokemon	Voltorb	ビリリダマ
pokemon	Voltorb-Hisui	ビリリダマ
pokemon	Electrode	マルマイン
pokemon	Electrode-Hisui	マルマイン
pokemon	Exeggcute	タマタマ
pokemon	Exeggutor	ナッシー
pokemon	Exeggutor-Alola	ナッシー
pokemon	Cubone	カラカラ
pokemon	Marowak	ガラガラ
pokemon	Marowak-Alola	ガラガラ
pokemon	Marowak-Alola-Totem	ガラガラ
pokemon	Hitmonlee	サワムラー
pokemon	Hitmonchan	エビワラー
pokemon	Lickitung	ベロリンガ
pokemon	Koffing	ドガース
pokemon	Weezing	マタドガス
pokemon	Weezing-Galar	マタドガス
pokemon	Rhyhorn	サイホーン
pokemon	Rhydon	サイドン
pokemon	Chansey	ラッキー
pokemon	Tangela	モンジャラ
pokemon	Kangaskhan	ガルーラ
pokemon	Kangaskhan-Mega	ガルーラ
pokemon	Horsea	タッツー
pokemon	Seadra	シードラ
pokemon	Goldeen	トサキント
pokemon	Seaking	アズマオウ
pokemon	Staryu	ヒトデマン
pokemon	Starmie	スターミー
pokemon	Starmie-Mega	スターミー
pokemon	Mr. Mime	バリヤード
pokemon	Mr. Mime-Galar	バリヤード
pokemon	Scyther	ストライク
pokemon	Jynx	ルージュラ
pokemon	Electabuzz	エレブー
pokemon	Magmar	ブーバー
pokemon	Pinsir	カイロス
pokemon	Pinsir-Mega	カイロス
pokemon	Tauros	ケンタロス
pokemon	Tauros-Paldea-Aqua	ケンタロス
pokemon	Tauros-Paldea-Blaze	ケンタロス
pokemon	Tauros-Paldea-Combat	ケンタロス
pokemon	Magikarp	コイキング
pokemon	Gyarados	ギャラドス
pokemon	Gyarados-Mega	ギャラドス
pokemon	Lapras	ラプラス
pokemon	Lapras-Gmax	ラプラス
pokemon	Ditto	メタモン
pokemon	Eevee	イーブイ
pokemon	Eevee-Gmax	イーブイ
pokemon	Eevee-Starter	イーブイ
pokemon	Vaporeon	シャワーズ
pokemon	Jolteon	サンダース
pokemon	Flareon	ブースター
pokemon	Porygon	ポリゴン
pokemon	Omanyte	オムナイト
pokemon	Omastar	オムスター
pokemon	Kabuto	カブト
pokemon	Kabutops	カブトプス
pokemon	Aerodactyl	プテラ
pokemon	Aerodactyl-Mega	プテラ
pokemon	Snorlax	カビゴン
pokemon	Snorlax-Gmax	カビゴン
pokemon	Articuno	フリーザー
pokemon	Articuno-Galar	フリーザー
pokemon	Zapdos	サンダー
pokemon	Zapdos-Galar	サンダー
pokemon	Moltres	ファイヤー
pokemon	Moltres-Galar	ファイヤー
pokemon	Dratini	ミニリュウ
pokemon	Dragonair	ハクリュー
pokemon	Dragonite	カイリュー
pokemon	Dragonite-Mega	カイリュー
pokemon	Mewtwo	ミュウツー
pokemon	Mewtwo-Mega-X	ミュウツー
pokemon	Mewtwo-Mega-Y	ミュウツー
pokemon	Mew	ミュウ
pokemon	Chikorita	チコリータ
pokemon	Bayleef	ベイリーフ
pokemon	Meganium	メガニウム
pokemon	Meganium-Mega	メガニウム
pokemon	Cyndaquil	ヒノアラシ
pokemon	Quilava	マグマラシ
pokemon	Typhlosion	バクフーン
pokemon	Typhlosion-Hisui	バクフーン
pokemon	Totodile	ワニノコ
pokemon	Croconaw	アリゲイツ
pokemon	Feraligatr	オーダイル
pokemon	Feraligatr-Mega	オーダイル
pokemon	Sentret	オタチ
pokemon	Furret	オオタチ
pokemon	Hoothoot	ホーホー
pokemon	Noctowl	ヨルノズク
pokemon	Ledyba	レディバ
pokemon	Ledian	レディアン
pokemon	Spinarak	イトマル
pokemon	Ariados	アリアドス
pokemon	Crobat	クロバット
pokemon	Chinchou	チョンチー
pokemon	Lanturn	ランターン
pokemon	Pichu	ピチュー
pokemon	Pichu-Spiky-eared	ピチュー
pokemon	Cleffa	ピィ
pokemon	Igglybuff	ププリン
pokemon	Togepi	トゲピー
pokemon	Togetic	トゲチック
pokemon	Natu	ネイティ
pokemon	Xatu	ネイティオ
pokemon	Mareep	メリープ
pokemon	Flaaffy	モココ
pokemon	Ampharos	デンリュウ
pokemon	Ampharos-Mega	デンリュウ
pokemon	Bellossom	キレイハナ
pokemon	Marill	マリル
pokemon	Azumarill	マリルリ
pokemon	Sudowoodo	ウソッキー
pokemon	Politoed	ニョロトノ
pokemon	Hoppip	ハネッコ
pokemon	Skiploom	ポポッコ
